name,role,Latitude ,Longitude,allowed_load_types,default_units_loaded,notes
MARK MORRIS LEASE - BALLARD,pickup,35.2977,-118.834,crude,150,
10G NEW NAPHTHA OFFLOAD,dropoff,35.24073,-119.378557,crude,150,
18G LEASE,pickup,35.2308,-119.43,crude,150,
1X-16,pickup,36.4587,-119.907,crude,150,
21Z LEASE,pickup,35.306,-119.614,crude,150,
27G,pickup,35.1971,-119.392,crude,150,
35Z LEASE,pickup,35.2686,-119.577,crude,150,
58-1U LEASE,pickup,35.9512,-119.976,crude,150,
87-20 LEASE,pickup,35.0135,-119.03,crude,150,
CRC - LOST HILLS 2,pickup,35.649643,-119.745522,crude,150,
CRC 32 DEHY,pickup,36.2343,-120.363,crude,150,
AERA LEASE,pickup,35.0451,-119.378,crude,150,
AFS WATER PLANT N MIDWAY (CRC/AERA),pickup,35.235698,-119.573819,crude,150,
ALEXANDER LEASE,pickup,35.9507,-120.815,crude,150,
ALMOND CREST LEASE,pickup,35.7394,-119.84,crude,150,
ALMOND D21 LEASE,pickup,35.7354,-119.831,crude,150,
ALON CRUDE RACK,pickup,35.3741,-119.071,crude,150,
AML LEASE,pickup,35.3213,-119.736,crude,150,
AMRICH REDBANK RD,pickup,35.339,-118.888,crude,150,
ANDERSON - ETCHEGOING,pickup,35.3965,-119.751,crude,150,
ANDERSON 34 29 LEASE,pickup,35.4596,-119.849,crude,150,
ANDERSON COMPASS LEASE,pickup,36.1538,-120.408,crude,150,
ANTHILL LEASE,pickup,35.4,-118.854,crude,150,
ANZA - E&B NATURAL RESOURCES,pickup,35.5221,-119.076,crude,150,
AOQ SECTION 14 LEASE,pickup,36.1831,-120.413,crude,150,
ARCHIBALD LEASE,pickup,35.2971,-118.884,crude,150,
ARCO 36X10,pickup,35.4163,-119.176,crude,150,
ASLIN TEMBLOR,pickup,35.362,-119.772,crude,150,
ASPHALTO LEASE,both,35.295,-119.588,crude,150,
B2 LEASE,pickup,34.9914,-118.891,crude,150,
